queue_order,person_id,province,excel_row,identity_resolution,candidate_names,current_organization,current_title,current_verification_status,evidence_grade,evidence_url,unresolved_reason
11,FC2515-P11-R0300,浙江,300,SHIFT_FRAGMENT,苏健,,,DEFERRED_CANONICAL_IDENTITY_REPAIR_REQUIRED,A,https://www.acfic.org.cn/ztzlhz/2022gslhj/2022gslhj_zj/202209/t20220919_313059.html,Canonical person_id is attached to a malformed source fragment/compound row; assigning current organization/title before canonical split/merge risks cross-person contamination. Identity candidates are evidence-backed and carried forward to structural conflict resolution.
12,FC2515-P11-R0316,浙江,316,FRAGMENT_HEAD,杨军（丽水）,,,DEFERRED_CANONICAL_IDENTITY_REPAIR_REQUIRED,A,https://www.acfic.org.cn/ztzlhz/2022gslhj/2022gslhj_zj/202209/t20220919_313059.html,Canonical person_id is attached to a malformed source fragment/compound row; assigning current organization/title before canonical split/merge risks cross-person contamination. Identity candidates are evidence-backed and carried forward to structural conflict resolution.
13,FC2515-P11-R0317,浙江,317,FRAGMENT_TAIL,杨军（丽水）,,,DEFERRED_CANONICAL_IDENTITY_REPAIR_REQUIRED,A,https://www.acfic.org.cn/ztzlhz/2022gslhj/2022gslhj_zj/202209/t20220919_313059.html,Canonical person_id is attached to a malformed source fragment/compound row; assigning current organization/title before canonical split/merge risks cross-person contamination. Identity candidates are evidence-backed and carried forward to structural conflict resolution.
14,FC2515-P11-R0388,浙江,388,SHIFT_FRAGMENT,陈滨,,,DEFERRED_CANONICAL_IDENTITY_REPAIR_REQUIRED,A,https://www.acfic.org.cn/ztzlhz/2022gslhj/2022gslhj_zj/202209/t20220919_313059.html,Canonical person_id is attached to a malformed source fragment/compound row; assigning current organization/title before canonical split/merge risks cross-person contamination. Identity candidates are evidence-backed and carried forward to structural conflict resolution.
15,FC2515-P11-R0390,浙江,390,SHIFT_FRAGMENT,陈蕾,,,DEFERRED_CANONICAL_IDENTITY_REPAIR_REQUIRED,A,https://www.acfic.org.cn/ztzlhz/2022gslhj/2022gslhj_zj/202209/t20220919_313059.html,Canonical person_id is attached to a malformed source fragment/compound row; assigning current organization/title before canonical split/merge risks cross-person contamination. Identity candidates are evidence-backed and carried forward to structural conflict resolution.
16,FC2515-P11-R0391,浙江,391,FRAGMENT_HEAD,陈蔚,,,DEFERRED_CANONICAL_IDENTITY_REPAIR_REQUIRED,A,https://www.acfic.org.cn/ztzlhz/2022gslhj/2022gslhj_zj/202209/t20220919_313059.html,Canonical person_id is attached to a malformed source fragment/compound row; assigning current organization/title before canonical split/merge risks cross-person contamination. Identity candidates are evidence-backed and carried forward to structural conflict resolution.
17,FC2515-P11-R0392,浙江,392,FRAGMENT_TAIL,陈蔚,,,DEFERRED_CANONICAL_IDENTITY_REPAIR_REQUIRED,A,https://www.acfic.org.cn/ztzlhz/2022gslhj/2022gslhj_zj/202209/t20220919_313059.html,Canonical person_id is attached to a malformed source fragment/compound row; assigning current organization/title before canonical split/merge risks cross-person contamination. Identity candidates are evidence-backed and carried forward to structural conflict resolution.
18,FC2515-P11-R0511,浙江,511,SHIFT_FRAGMENT,徐伟,,,DEFERRED_CANONICAL_IDENTITY_REPAIR_REQUIRED,A,https://www.acfic.org.cn/ztzlhz/2022gslhj/2022gslhj_zj/202209/t20220919_313059.html,Canonical person_id is attached to a malformed source fragment/compound row; assigning current organization/title before canonical split/merge risks cross-person contamination. Identity candidates are evidence-backed and carried forward to structural conflict resolution.
19,FC2515-P11-R0513,浙江,513,SHIFT_FRAGMENT,徐迅,,,DEFERRED_CANONICAL_IDENTITY_REPAIR_REQUIRED,A,https://www.acfic.org.cn/ztzlhz/2022gslhj/2022gslhj_zj/202209/t20220919_313059.html,Canonical person_id is attached to a malformed source fragment/compound row; assigning current organization/title before canonical split/merge risks cross-person contamination. Identity candidates are evidence-backed and carried forward to structural conflict resolution.
20,FC2515-P11-R0520,浙江,520,FRAGMENT_HEAD,殷英,,,DEFERRED_CANONICAL_IDENTITY_REPAIR_REQUIRED,A,https://www.acfic.org.cn/ztzlhz/2022gslhj/2022gslhj_zj/202209/t20220919_313059.html,Canonical person_id is attached to a malformed source fragment/compound row; assigning current organization/title before canonical split/merge risks cross-person contamination. Identity candidates are evidence-backed and carried forward to structural conflict resolution.
21,FC2515-P11-R0521,浙江,521,FRAGMENT_TAIL,殷英,,,DEFERRED_CANONICAL_IDENTITY_REPAIR_REQUIRED,A,https://www.acfic.org.cn/ztzlhz/2022gslhj/2022gslhj_zj/202209/t20220919_313059.html,Canonical person_id is attached to a malformed source fragment/compound row; assigning current organization/title before canonical split/merge risks cross-person contamination. Identity candidates are evidence-backed and carried forward to structural conflict resolution.
22,FC2515-P11-R0553,浙江,553,SHIFT_FRAGMENT,彭星,,,DEFERRED_CANONICAL_IDENTITY_REPAIR_REQUIRED,A,https://www.acfic.org.cn/ztzlhz/2022gslhj/2022gslhj_zj/202209/t20220919_313059.html,Canonical person_id is attached to a malformed source fragment/compound row; assigning current organization/title before canonical split/merge risks cross-person contamination. Identity candidates are evidence-backed and carried forward to structural conflict resolution.
23,FC2515-P12-R0036,安徽,36,MULTIPERSON_SOURCE_ROW,朱玉荣|伍志伟,,,DEFERRED_CANONICAL_IDENTITY_REPAIR_REQUIRED,A,https://www.acfic.org.cn/ztzlhz/2022gslhj/2022gslhj_ah/202208/t20220812_312855.html,Canonical person_id is attached to a malformed source fragment/compound row; assigning current organization/title before canonical split/merge risks cross-person contamination. Identity candidates are evidence-backed and carried forward to structural conflict resolution.
24,FC2515-P12-R0052,安徽,52,MULTIPERSON_SOURCE_ROW,王磊|王小强,,,DEFERRED_CANONICAL_IDENTITY_REPAIR_REQUIRED,A,https://www.acfic.org.cn/ztzlhz/2022gslhj/2022gslhj_ah/202208/t20220812_312855.html,Canonical person_id is attached to a malformed source fragment/compound row; assigning current organization/title before canonical split/merge risks cross-person contamination. Identity candidates are evidence-backed and carried forward to structural conflict resolution.
25,FC2515-P12-R0056,安徽,56,MULTIPERSON_SOURCE_ROW,王翠凤|尤加林,,,DEFERRED_CANONICAL_IDENTITY_REPAIR_REQUIRED,A,https://www.acfic.org.cn/ztzlhz/2022gslhj/2022gslhj_ah/202208/t20220812_312855.html,Canonical person_id is attached to a malformed source fragment/compound row; assigning current organization/title before canonical split/merge risks cross-person contamination. Identity candidates are evidence-backed and carried forward to structural conflict resolution.
26,FC2515-P12-R0066,安徽,66,MULTIPERSON_SOURCE_ROW,朱前定|伍志伟,,,DEFERRED_CANONICAL_IDENTITY_REPAIR_REQUIRED,A,https://www.acfic.org.cn/ztzlhz/2022gslhj/2022gslhj_ah/202208/t20220812_312855.html,Canonical person_id is attached to a malformed source fragment/compound row; assigning current organization/title before canonical split/merge risks cross-person contamination. Identity candidates are evidence-backed and carried forward to structural conflict resolution.
27,FC2515-P12-R0071,安徽,71,MULTIPERSON_SOURCE_ROW,刘尚斌|刘亮亮,,,DEFERRED_CANONICAL_IDENTITY_REPAIR_REQUIRED,A,https://www.acfic.org.cn/ztzlhz/2022gslhj/2022gslhj_ah/202208/t20220812_312855.html,Canonical person_id is attached to a malformed source fragment/compound row; assigning current organization/title before canonical split/merge risks cross-person contamination. Identity candidates are evidence-backed and carried forward to structural conflict resolution.
28,FC2515-P12-R0086,安徽,86,MULTIPERSON_SOURCE_ROW,李俊波|李增流,,,DEFERRED_CANONICAL_IDENTITY_REPAIR_REQUIRED,A,https://www.acfic.org.cn/ztzlhz/2022gslhj/2022gslhj_ah/202208/t20220812_312855.html,Canonical person_id is attached to a malformed source fragment/compound row; assigning current organization/title before canonical split/merge risks cross-person contamination. Identity candidates are evidence-backed and carried forward to structural conflict resolution.
29,FC2515-P12-R0091,安徽,91,MULTIPERSON_SOURCE_ROW,吴立民|吴成月,,,DEFERRED_CANONICAL_IDENTITY_REPAIR_REQUIRED,A,https://www.acfic.org.cn/ztzlhz/2022gslhj/2022gslhj_ah/202208/t20220812_312855.html,Canonical person_id is attached to a malformed source fragment/compound row; assigning current organization/title before canonical split/merge risks cross-person contamination. Identity candidates are evidence-backed and carried forward to structural conflict resolution.
30,FC2515-P12-R0096,安徽,96,MULTIPERSON_SOURCE_ROW,沈泽冰|陈齐,,,DEFERRED_CANONICAL_IDENTITY_REPAIR_REQUIRED,A,https://www.acfic.org.cn/ztzlhz/2022gslhj/2022gslhj_ah/202208/t20220812_312855.html,Canonical person_id is attached to a malformed source fragment/compound row; assigning current organization/title before canonical split/merge risks cross-person contamination. Identity candidates are evidence-backed and carried forward to structural conflict resolution.
31,FC2515-P12-R0110,安徽,110,MULTIPERSON_SOURCE_ROW,胡春华|施卫东,,,DEFERRED_CANONICAL_IDENTITY_REPAIR_REQUIRED,A,https://www.acfic.org.cn/ztzlhz/2022gslhj/2022gslhj_ah/202208/t20220812_312855.html,Canonical person_id is attached to a malformed source fragment/compound row; assigning current organization/title before canonical split/merge risks cross-person contamination. Identity candidates are evidence-backed and carried forward to structural conflict resolution.
32,FC2515-P12-R0114,安徽,114,MULTIPERSON_SOURCE_ROW,贺应旭|聂磊,,,DEFERRED_CANONICAL_IDENTITY_REPAIR_REQUIRED,A,https://www.acfic.org.cn/ztzlhz/2022gslhj/2022gslhj_ah/202208/t20220812_312855.html,Canonical person_id is attached to a malformed source fragment/compound row; assigning current organization/title before canonical split/merge risks cross-person contamination. Identity candidates are evidence-backed and carried forward to structural conflict resolution.
33,FC2515-P12-R0145,安徽,145,MULTIPERSON_SOURCE_ROW,丁超毅|于军,,,DEFERRED_CANONICAL_IDENTITY_REPAIR_REQUIRED,A,https://www.acfic.org.cn/ztzlhz/2022gslhj/2022gslhj_ah/202208/t20220812_312855.html,Canonical person_id is attached to a malformed source fragment/compound row; assigning current organization/title before canonical split/merge risks cross-person contamination. Identity candidates are evidence-backed and carried forward to structural conflict resolution.
34,FC2515-P12-R0154,安徽,154,MULTIPERSON_SOURCE_ROW,王正荣|王正前,,,DEFERRED_CANONICAL_IDENTITY_REPAIR_REQUIRED,A,https://www.acfic.org.cn/ztzlhz/2022gslhj/2022gslhj_ah/202208/t20220812_312855.html,Canonical person_id is attached to a malformed source fragment/compound row; assigning current organization/title before canonical split/merge risks cross-person contamination. Identity candidates are evidence-backed and carried forward to structural conflict resolution.
35,FC2515-P12-R0158,安徽,158,MULTIPERSON_SOURCE_ROW,王怀远|王和新,,,DEFERRED_CANONICAL_IDENTITY_REPAIR_REQUIRED,A,https://www.acfic.org.cn/ztzlhz/2022gslhj/2022gslhj_ah/202208/t20220812_312855.html,Canonical person_id is attached to a malformed source fragment/compound row; assigning current organization/title before canonical split/merge risks cross-person contamination. Identity candidates are evidence-backed and carried forward to structural conflict resolution.
36,FC2515-P12-R0162,安徽,162,MULTIPERSON_SOURCE_ROW,王培元|王鹏程,,,DEFERRED_CANONICAL_IDENTITY_REPAIR_REQUIRED,A,https://www.acfic.org.cn/ztzlhz/2022gslhj/2022gslhj_ah/202208/t20220812_312855.html,Canonical person_id is attached to a malformed source fragment/compound row; assigning current organization/title before canonical split/merge risks cross-person contamination. Identity candidates are evidence-backed and carried forward to structural conflict resolution.
37,FC2515-P12-R0166,安徽,166,MULTIPERSON_SOURCE_ROW,卞凯民|方东兴,,,DEFERRED_CANONICAL_IDENTITY_REPAIR_REQUIRED,A,https://www.acfic.org.cn/ztzlhz/2022gslhj/2022gslhj_ah/202208/t20220812_312855.html,Canonical person_id is attached to a malformed source fragment/compound row; assigning current organization/title before canonical split/merge risks cross-person contamination. Identity candidates are evidence-backed and carried forward to structural conflict resolution.
38,FC2515-P12-R0199,安徽,199,MULTIPERSON_SOURCE_ROW,刘力|刘伟|刘永政|刘庆峰|刘江华|刘红岩|刘沛峰,,,DEFERRED_CANONICAL_IDENTITY_REPAIR_REQUIRED,A,https://www.acfic.org.cn/ztzlhz/2022gslhj/2022gslhj_ah/202208/t20220812_312855.html,Canonical person_id is attached to a malformed source fragment/compound row; assigning current organization/title before canonical split/merge risks cross-person contamination. Identity candidates are evidence-backed and carried forward to structural conflict resolution.
39,FC2515-P12-R0231,安徽,231,MULTIPERSON_SOURCE_ROW,李厚文|李俊波,,,DEFERRED_CANONICAL_IDENTITY_REPAIR_REQUIRED,A,https://www.acfic.org.cn/ztzlhz/2022gslhj/2022gslhj_ah/202208/t20220812_312855.html,Canonical person_id is attached to a malformed source fragment/compound row; assigning current organization/title before canonical split/merge risks cross-person contamination. Identity candidates are evidence-backed and carried forward to structural conflict resolution.
40,FC2515-P12-R0275,安徽,275,MULTIPERSON_SOURCE_ROW,张少华|张世才,,,DEFERRED_CANONICAL_IDENTITY_REPAIR_REQUIRED,A,https://www.acfic.org.cn/ztzlhz/2022gslhj/2022gslhj_ah/202208/t20220812_312855.html,Canonical person_id is attached to a malformed source fragment/compound row; assigning current organization/title before canonical split/merge risks cross-person contamination. Identity candidates are evidence-backed and carried forward to structural conflict resolution.
41,FC2515-P12-R0279,安徽,279,MULTIPERSON_SOURCE_ROW,张洪玉|陈齐,,,DEFERRED_CANONICAL_IDENTITY_REPAIR_REQUIRED,A,https://www.acfic.org.cn/ztzlhz/2022gslhj/2022gslhj_ah/202208/t20220812_312855.html,Canonical person_id is attached to a malformed source fragment/compound row; assigning current organization/title before canonical split/merge risks cross-person contamination. Identity candidates are evidence-backed and carried forward to structural conflict resolution.
42,FC2515-P12-R0283,安徽,283,MULTIPERSON_SOURCE_ROW,陈冬梅|陈华明,,,DEFERRED_CANONICAL_IDENTITY_REPAIR_REQUIRED,A,https://www.acfic.org.cn/ztzlhz/2022gslhj/2022gslhj_ah/202208/t20220812_312855.html,Canonical person_id is attached to a malformed source fragment/compound row; assigning current organization/title before canonical split/merge risks cross-person contamination. Identity candidates are evidence-backed and carried forward to structural conflict resolution.
43,FC2515-P12-R0287,安徽,287,MULTIPERSON_SOURCE_ROW,陈荣娜|陈昭敏,,,DEFERRED_CANONICAL_IDENTITY_REPAIR_REQUIRED,A,https://www.acfic.org.cn/ztzlhz/2022gslhj/2022gslhj_ah/202208/t20220812_312855.html,Canonical person_id is attached to a malformed source fragment/compound row; assigning current organization/title before canonical split/merge risks cross-person contamination. Identity candidates are evidence-backed and carried forward to structural conflict resolution.
44,FC2515-P12-R0297,安徽,297,MULTIPERSON_SOURCE_ROW,金颐|金磬,,,DEFERRED_CANONICAL_IDENTITY_REPAIR_REQUIRED,A,https://www.acfic.org.cn/ztzlhz/2022gslhj/2022gslhj_ah/202208/t20220812_312855.html,Canonical person_id is attached to a malformed source fragment/compound row; assigning current organization/title before canonical split/merge risks cross-person contamination. Identity candidates are evidence-backed and carried forward to structural conflict resolution.
45,FC2515-P12-R0324,安徽,324,MULTIPERSON_SOURCE_ROW,姚和平|贺应旭,,,DEFERRED_CANONICAL_IDENTITY_REPAIR_REQUIRED,A,https://www.acfic.org.cn/ztzlhz/2022gslhj/2022gslhj_ah/202208/t20220812_312855.html,Canonical person_id is attached to a malformed source fragment/compound row; assigning current organization/title before canonical split/merge risks cross-person contamination. Identity candidates are evidence-backed and carried forward to structural conflict resolution.
46,FC2515-P12-R0372,安徽,372,MULTIPERSON_SOURCE_ROW,覃蔚|程岗,,,DEFERRED_CANONICAL_IDENTITY_REPAIR_REQUIRED,A,https://www.acfic.org.cn/ztzlhz/2022gslhj/2022gslhj_ah/202208/t20220812_312855.html,Canonical person_id is attached to a malformed source fragment/compound row; assigning current organization/title before canonical split/merge risks cross-person contamination. Identity candidates are evidence-backed and carried forward to structural conflict resolution.
47,FC2515-P12-R0376,安徽,376,MULTIPERSON_SOURCE_ROW,焦慧|储昭节,,,DEFERRED_CANONICAL_IDENTITY_REPAIR_REQUIRED,A,https://www.acfic.org.cn/ztzlhz/2022gslhj/2022gslhj_ah/202208/t20220812_312855.html,Canonical person_id is attached to a malformed source fragment/compound row; assigning current organization/title before canonical split/merge risks cross-person contamination. Identity candidates are evidence-backed and carried forward to structural conflict resolution.
48,FC2515-P12-R0381,安徽,381,MULTIPERSON_SOURCE_ROW,蓝天|蔡镕骏,,,DEFERRED_CANONICAL_IDENTITY_REPAIR_REQUIRED,A,https://www.acfic.org.cn/ztzlhz/2022gslhj/2022gslhj_ah/202208/t20220812_312855.html,Canonical person_id is attached to a malformed source fragment/compound row; assigning current organization/title before canonical split/merge risks cross-person contamination. Identity candidates are evidence-backed and carried forward to structural conflict resolution.
49,FC2515-P12-R0386,安徽,386,MULTIPERSON_SOURCE_ROW,潘斌|潘保春,,,DEFERRED_CANONICAL_IDENTITY_REPAIR_REQUIRED,A,https://www.acfic.org.cn/ztzlhz/2022gslhj/2022gslhj_ah/202208/t20220812_312855.html,Canonical person_id is attached to a malformed source fragment/compound row; assigning current organization/title before canonical split/merge risks cross-person contamination. Identity candidates are evidence-backed and carried forward to structural conflict resolution.
50,FC2515-P16-R0004,河南,4,MULTIPERSON_SOURCE_ROW,赵纯武|孔火团|马跃峰|李莉,,,DEFERRED_CANONICAL_IDENTITY_REPAIR_REQUIRED,A,https://www.acfic.org.cn/ztzlhz/2022gslhj/2022gslhj_ha/202208/t20220829_113897.html,Canonical person_id is attached to a malformed source fragment/compound row; assigning current organization/title before canonical split/merge risks cross-person contamination. Identity candidates are evidence-backed and carried forward to structural conflict resolution.
51,FC2515-P16-R0007,河南,7,SHIFT_FRAGMENT,陈南,,,DEFERRED_CANONICAL_IDENTITY_REPAIR_REQUIRED,A,https://www.acfic.org.cn/ztzlhz/2022gslhj/2022gslhj_ha/202208/t20220829_113897.html,Canonical person_id is attached to a malformed source fragment/compound row; assigning current organization/title before canonical split/merge risks cross-person contamination. Identity candidates are evidence-backed and carried forward to structural conflict resolution.
52,FC2515-P16-R0028,河南,28,SHIFT_FRAGMENT,常远,,,DEFERRED_CANONICAL_IDENTITY_REPAIR_REQUIRED,A,https://www.acfic.org.cn/ztzlhz/2022gslhj/2022gslhj_ha/202208/t20220829_113897.html,Canonical person_id is attached to a malformed source fragment/compound row; assigning current organization/title before canonical split/merge risks cross-person contamination. Identity candidates are evidence-backed and carried forward to structural conflict resolution.
53,FC2515-P16-R0035,河南,35,CONTAMINATED_MULTIPERSON,王玉桥|连建伟|潘道荣,,,DEFERRED_CANONICAL_IDENTITY_REPAIR_REQUIRED,A,https://www.acfic.org.cn/ztzlhz/2022gslhj/2022gslhj_ha/202208/t20220829_113897.html,Canonical person_id is attached to a malformed source fragment/compound row; assigning current organization/title before canonical split/merge risks cross-person contamination. Identity candidates are evidence-backed and carried forward to structural conflict resolution.
54,FC2515-P16-R0053,河南,53,FRAGMENT_HEAD,郭敏,,,DEFERRED_CANONICAL_IDENTITY_REPAIR_REQUIRED,A,https://www.acfic.org.cn/ztzlhz/2022gslhj/2022gslhj_ha/202208/t20220829_113897.html,Canonical person_id is attached to a malformed source fragment/compound row; assigning current organization/title before canonical split/merge risks cross-person contamination. Identity candidates are evidence-backed and carried forward to structural conflict resolution.
55,FC2515-P16-R0054,河南,54,FRAGMENT_TAIL,郭敏,,,DEFERRED_CANONICAL_IDENTITY_REPAIR_REQUIRED,A,https://www.acfic.org.cn/ztzlhz/2022gslhj/2022gslhj_ha/202208/t20220829_113897.html,Canonical person_id is attached to a malformed source fragment/compound row; assigning current organization/title before canonical split/merge risks cross-person contamination. Identity candidates are evidence-backed and carried forward to structural conflict resolution.
56,FC2515-P16-R0065,河南,65,SHIFT_FRAGMENT,王铭,,,DEFERRED_CANONICAL_IDENTITY_REPAIR_REQUIRED,A,https://www.acfic.org.cn/ztzlhz/2022gslhj/2022gslhj_ha/202208/t20220829_113897.html,Canonical person_id is attached to a malformed source fragment/compound row; assigning current organization/title before canonical split/merge risks cross-person contamination. Identity candidates are evidence-backed and carried forward to structural conflict resolution.
57,FC2515-P16-R0068,河南,68,SHIFT_FRAGMENT,王鹏（青企联）,,,DEFERRED_CANONICAL_IDENTITY_REPAIR_REQUIRED,A,https://www.acfic.org.cn/ztzlhz/2022gslhj/2022gslhj_ha/202208/t20220829_113897.html,Canonical person_id is attached to a malformed source fragment/compound row; assigning current organization/title before canonical split/merge risks cross-person contamination. Identity candidates are evidence-backed and carried forward to structural conflict resolution.
58,FC2515-P16-R0094,河南,94,SHIFT_FRAGMENT,孙浩,,,DEFERRED_CANONICAL_IDENTITY_REPAIR_REQUIRED,A,https://www.acfic.org.cn/ztzlhz/2022gslhj/2022gslhj_ha/202208/t20220829_113897.html,Canonical person_id is attached to a malformed source fragment/compound row; assigning current organization/title before canonical split/merge risks cross-person contamination. Identity candidates are evidence-backed and carried forward to structural conflict resolution.
59,FC2515-P16-R0099,河南,99,FRAGMENT_HEAD,李林,,,DEFERRED_CANONICAL_IDENTITY_REPAIR_REQUIRED,A,https://www.acfic.org.cn/ztzlhz/2022gslhj/2022gslhj_ha/202208/t20220829_113897.html,Canonical person_id is attached to a malformed source fragment/compound row; assigning current organization/title before canonical split/merge risks cross-person contamination. Identity candidates are evidence-backed and carried forward to structural conflict resolution.
60,FC2515-P16-R0100,河南,100,FRAGMENT_TAIL,李林,,,DEFERRED_CANONICAL_IDENTITY_REPAIR_REQUIRED,A,https://www.acfic.org.cn/ztzlhz/2022gslhj/2022gslhj_ha/202208/t20220829_113897.html,Canonical person_id is attached to a malformed source fragment/compound row; assigning current organization/title before canonical split/merge risks cross-person contamination. Identity candidates are evidence-backed and carried forward to structural conflict resolution.
61,FC2515-P16-R0101,河南,101,FRAGMENT_HEAD,李森,,,DEFERRED_CANONICAL_IDENTITY_REPAIR_REQUIRED,A,https://www.acfic.org.cn/ztzlhz/2022gslhj/2022gslhj_ha/202208/t20220829_113897.html,Canonical person_id is attached to a malformed source fragment/compound row; assigning current organization/title before canonical split/merge risks cross-person contamination. Identity candidates are evidence-backed and carried forward to structural conflict resolution.
62,FC2515-P16-R0102,河南,102,FRAGMENT_TAIL,李森,,,DEFERRED_CANONICAL_IDENTITY_REPAIR_REQUIRED,A,https://www.acfic.org.cn/ztzlhz/2022gslhj/2022gslhj_ha/202208/t20220829_113897.html,Canonical person_id is attached to a malformed source fragment/compound row; assigning current organization/title before canonical split/merge risks cross-person contamination. Identity candidates are evidence-backed and carried forward to structural conflict resolution.
63,FC2515-P16-R0117,河南,117,FRAGMENT_HEAD,张慧（女）,,,DEFERRED_CANONICAL_IDENTITY_REPAIR_REQUIRED,A,https://www.acfic.org.cn/ztzlhz/2022gslhj/2022gslhj_ha/202208/t20220829_113897.html,Canonical person_id is attached to a malformed source fragment/compound row; assigning current organization/title before canonical split/merge risks cross-person contamination. Identity candidates are evidence-backed and carried forward to structural conflict resolution.
64,FC2515-P16-R0118,河南,118,FRAGMENT_TAIL,张慧（女）,,,DEFERRED_CANONICAL_IDENTITY_REPAIR_REQUIRED,A,https://www.acfic.org.cn/ztzlhz/2022gslhj/2022gslhj_ha/202208/t20220829_113897.html,Canonical person_id is attached to a malformed source fragment/compound row; assigning current organization/title before canonical split/merge risks cross-person contamination. Identity candidates are evidence-backed and carried forward to structural conflict resolution.
65,FC2515-P16-R0119,河南,119,FRAGMENT_HEAD,张磊,,,DEFERRED_CANONICAL_IDENTITY_REPAIR_REQUIRED,A,https://www.acfic.org.cn/ztzlhz/2022gslhj/2022gslhj_ha/202208/t20220829_113897.html,Canonical person_id is attached to a malformed source fragment/compound row; assigning current organization/title before canonical split/merge risks cross-person contamination. Identity candidates are evidence-backed and carried forward to structural conflict resolution.
