kind,ordinal,path,queue_start,queue_end,row_count,storage_role,projection,base_or_parent_gate
ledger,9,projects/fc-exec-2515/evidence/W3_BATCH_0036_RESULS.csv.gz,2101,2160,60,result_segment,ledger,W3-BATCH-0036
overlay,9,projects/fc-exec-2515/evidence/W3_BATCH_0036_RESULTS.csv.gz,2101,2160,60,result_segment,overlay,W3-BATCH-0036
ledger,10,projects/fc-exec-2515/evidence/W3_BATCH_0037_RESULTS.csv.gz,2161,2220,60,result_segment,ledger,W3-BATCH-0037
overlay,10,projects/fc-exec-2515/evidence/W3_BATCH_0037_RESULTS.csv.gz,2161,2220,60,result_segment,overlay,W3-BATCH-0037
ledger,11,projects/fc-exec-2515/evidence/W3_BATCH_0038_RESULTS.csv.gz,2221,2280,60,result_segment,ledger,W3-BATCH-0038
overlay,11,projects/fc-exec-2515/evidence/W3_BATCH_0038_RESULTS.csv.gz,2221,2280,60,result_segment,overlay,W3-BATCH-0038
ledger,12,projects/fc-exec-2515/evidence/W3_BATCH_0039_RESULTS.csv.gz,2281,2340,60,result_segment,ledger,W3-BATCH-0039
overlay,12,projects/fc-exec-2515/evidence/W3_BATCH_0039_RESULTS.csv.gz,2281,2340,60,result_segment,overlay,W3-BATCH-0039
ledger,13,projects/fc-exec-2515/evidence/W3_BATCH_0040_RESULTS.csv.gz,2341,2400,60,result_segment,ledger,W3-BATCH-0040
overlay,13,projects/fc-exec-2515/evidence/W3_BATCH_0040_RESULTS.csv.gz,2341,2400,60,result_segment,overlay,W3-BATCH-0040
ledger,14,projects/fc-exec-2515/evidence/W3_BATCH_0041_RESULTS.csv.gz,2401,2460,60,result_segment,ledger,W3-BATCH-0041
overlay,14,projects/fc-exec-2515/evidence/W3_BATCH_0041_RESULTS.csv.gz,2401,2460,60,result_segment,overlay,W3-BATCH-0041
ledger,15,projects/fc-exec-2515/evidence/W3_BATCH_0042_RESULTS.csv,2461,2520,60,result_segment,ledger,W3-BATCH-0042
overlay,15,projects/fc-exec-2515/evidence/W3_BATCH_0042_RESULTS.csv,2461,2520,60,result_segment,overlay,W3-BATCH-0042
ledger,16,projects/fc-exec-2515/evidence/W3_BATCH_0043_RESULTS.csv,2521,2580,60,result_segment,ledger,W3-BATCH-0043
overlay,16,projects/fc-exec-2515/evidence/W3_BATCH_0043_RESULTS.csv,2521,2580,60,result_segment,overlay,W3-BATCH-0043
ledger,17,projects/fc-exec-2515/evidence/W3_BATCH_0044_RESULTS.csv,2581,2640,60,result_segment,ledger,W3-BATCH-0044
overlay,17,projects/fc-exec-2515/evidence/W3_BATCH_0044_RESULTS.csv,2581,2640,60,result_segment,overlay,W3-BATCH-0044
ledger,18,projects/fc-exec-2515/evidence/W3_BATCH_0045_RESULTS.csv,2641,2700,60,result_segment,ledger,W3-BATCH-0045
overlay,18,projects/fc-exec-2515/evidence/W3_BATCH_0045_RESULTS.csv,2641,2700,60,result_segment,overlay,W3-BATCH-0045
ledger,19,projects/fc-exec-2515/evidence/W3_BATCH_0046_RESULTS.csv,2701,2760,60,result_segment,ledger,W3-BATCH-0046
overlay,19,projects/fc-exec-2515/evidence/W3_BATCH_0046_RESULTS.csv,2701,2760,60,result_segment,overlay,W3-BATCH-0046
ledger,20,projects/fc-exec-2515/evidence/W3_BATCH_0047_RESULTS.csv,2761,2820,60,result_segment,ledger,W3-BATCH-0047
overlay,20,projects/fc-exec-2515/evidence/W3_BATCH_0047_RESULTS.csv,2761,2820,60,result_segment,overlay,W3-BATCH-0047
ledger,21,projects/fc-exec-2515/evidence/W3_BATCH_0048_RESULTS.csv,2821,2880,60,result_segment,ledger,W3-BATCH-0048
overlay,21,projects/fc-exec-2515/evidence/W3_BATCH_0048_RESULTS.csv,2821,2880,60,result_segment,overlay,W3-BATCH-0048
ledger,22,projects/fc-exec-2515/evidence/W3_BATCH_0049_RESULTS.csv,2881,2940,60,result_segment,ledger,W3-BATCH-0049
overlay,22,projects/fc-exec-2515/evidence/W3_BATCH_0049_RESULTS.csv,2881,2940,60,result_segment,overlay,W3-BATCH-0049
ledger,23,projects/fc-exec-2515/evidence/W3_BATCH_0050_RESULTS.csv,2941,3000,60,result_segment,ledger,W3-BATCH-0050
overlay,23,projects/fc-exec-2515/evidence/W3_BATCH_0050_RESULTS.csv,2941,3000,60,result_segment,overlay,W3-BATCH-0050
ledger,24,projects/fc-exec-2515/evidence/W3_BATCH_0051_RESULTS.csv,3001,3060,60,result_segment,ledger,W3-BATCH-0051
overlay,24,projects/fc-exec-2515/evidence/W3_BATCH_0051_RESULTS.csv,3001,3060,60,result_segment,overlay,W3-BATCH-0051
ledger,25,projects/fc-exec-2515/evidence/W3_BATCH_0052_RESULTS.csv.gz,3061,3120,60,result_segment,ledger,W3-BATCH-0052
overlay,25,projects/fc-exec-2515/evidence/W3_BATCH_0052_RESULTS.csv.gz,3061,3120,60,result_segment,overlay,W3-BATCH-0052
ledger,26,projects/fc-exec-2515/evidence/W3_BATCH_0053_RESULTS.csv,3121,3180,60,result_segment,ledger,W3-BATCH-0053
overlay,26,projects/fc-exec-2515/evidence/W3_BATCH_0053_RESULTS.csv,3121,3180,60,result_segment,overlay,W3-BATCH-0053
ledger,27,projects/fc-exec-2515/evidence/W3_BATCH_0054_RESULTS.csv,3181,3240,60,result_segment,ledger,W3-BATCH-0054
overlay,27,projects/fc-exec-2515/evidence/W3_BATCH_0054_RESULTS.csv,3181,3240,60,result_segment,overlay,W3-BATCH-0054
ledger,28,projects/fc-exec-2515/evidence/W3_BATCH_0055_RESULTS.csv,3241,3300,60,result_segment,ledger,W3-BATCH-0055
overlay,28,projects/fc-exec-2515/evidence/W3_BATCH_0055_RESULTS.csv,3241,3300,60,result_segment,overlay,W3-BATCH-0055
ledger,29,projects/fc-exec-2515/evidence/W3_BATCH_0056_RESULTS.csv,3301,3360,60,result_segment,ledger,W3-BATCH-0056
overlay,29,projects/fc-exec-2515/evidence/W3_BATCH_0056_RESULTS.csv,3301,3360,60,result_segment,overlay,W3-BATCH-0056
ledger,30,projects/fc-exec-2515/evidence/W3_BATCH_0057_RESULTS.csv,3361,3420,60,result_segment,ledger,W3-BATCH-0057
overlay,30,projects/fc-exec-2515/evidence/W3_BATCH_0057_RESULTS.csv,3361,3420,60,result_segment,overlay,W3-BATCH-0057
ledger,31,projects/fc-exec-2515/evidence/W3_BATCH_0058_RESULTS.csv,3421,3480,60,result_segment,ledger,W3-BATCH-0058
overlay,31,projects/fc-exec-2515/evidence/W3_BATCH_0058_RESULTS.csv,3421,3480,60,result_segment,overlay,W3-BATCH-0058
ledger,32,projects/fc-exec-2515/evidence/W3_BATCH_0059_RESULTS.csv,3481,3540,60,result_segment,ledger,W3-BATCH-0059
overlay,32,projects/fc-exec-2515/evidence/W3_BATCH_0059_RESULTS.csv,3481,3540,60,result_segment,overlay,W3-BATCH-0059
ledger,33,projects/fc-exec-2515/evidence/W3_BATCH_0060_RESULTS.csv,3541,3600,60,result_segment,ledger,W3-BATCH-0060
overlay,33,projects/fc-exec-2515/evidence/W3_BATCH_0060_RESULTS.csv,3541,3600,60,result_segment,overlay,W3-BATCH-0060
ledger,34,projects/fc-exec-2515/evidence/W3_BATCH_0061_RESULTS.csv,3601,3660,60,result_segment,ledger,W3-BATCH-0061
overlay,34,projects/fc-exec-2515/evidence/W3_BATCH_0061_RESULTS.csv,3601,3660,60,result_segment,overlay,W3-BATCH-0061
ledger,35,projects/fc-exec-2515/evidence/W3_BATCH_0062_RESULTS.csv,3661,3720,60,result_segment,ledger,W3-BATCH-0062
overlay,35,projects/fc-exec-2515/evidence/W3_BATCH_0062_RESULTS.csv,3661,3720,60,result_segment,overlay,W3-BATCH-0062
ledger,36,projects/fc-exec-2515/evidence/W3_BATCH_0063_RESULTS.csv,3721,3780,60,result_segment,ledger,W3-BATCH-0063
overlay,36,projects/fc-exec-2515/evidence/W3_BATCH_0063_RESULTS.csv,3721,3780,60,result_segment,overlay,W3-BATCH-0063
ledger,37,projects/fc-exec-2515/evidence/W3_BATCH_0064_RESULTS.csv,3781,3840,60,result_segment,ledger,W3-BATCH-0064
overlay,37,projects/fc-exec-2515/evidence/W3_BATCH_0064_RESULTS.csv,3781,3840,60,result_segment,overlay,W3-BATCH-0064
ledger,38,projects/fc-exec-2515/evidence/W3_BATCH_0065_RESULTS.csv,3841,3900,60,result_segment,ledger,W3-BATCH-0065
overlay,38,projects/fc-exec-2515/evidence/W3_BATCH_0065_RESULTS.csv,3841,3900,60,result_segment,overlay,W3-BATCH-0065
ledger,39,projects/fc-exec-2515/evidence/W3_BATCH_0066_RESULTS.csv,3901,3960,60,result_segment,ledger,W3-BATCH-0066
overlay,39,projects/fc-exec-2515/evidence/W3_BATCH_0066_RESULTS.csv,3901,3960,60,result_segment,overlay,W3-BATCH-0066
ledger,40,projects/fc-exec-2515/evidence/W3_BATCH_0067_RESULTS.csv,3961,4020,60,result_segment,ledger,W3-BATCH-0067
overlay,40,projects/fc-exec-2515/evidence/W3_BATCH_0067_RESULTS.csv,3961,4020,60,result_segment,overlay,W3-BATCH-0067
ledger,41,projects/fc-exec-2515/evidence/W3_BATCH_0068_RESULTS.csv,4021,4080,60,result_segment,ledger,W3-BATCH-0068
overlay,41,projects/fc-exec-2515/evidence/W3_BATCH_0068_RESULTS.csv,4021,4080,60,result_segment,overlay,W3-BATCH-0068
ledger,42,projects/fc-exec-2515/evidence/W3_BATCH_0069_RESULTS.csv,4081,4140,60,result_segment,ledger,W3-BATCH-0069
overlay,42,projects/fc-exec-2515/evidence/W3_BATCH_0069_RESULTS.csv,4081,4140,60,result_segment,overlay,W3-BATCH-0069
ledger,43,projects/fc-exec-2515/evidence/W3_BATCH_0070_RESULTS.csv,4141,4200,60,result_segment,ledger,W3-BATCH-0070
overlay,43,projects/fc-exec-2515/evidence/W3_BATCH_0070_RESULTS.csv,4141,4200,60,result_segment,overlay,W3-BATCH-0070
ledger,44,projects/fc-exec-2515/evidence/W3_BATCH_0071_RESULTS.csv,4201,4260,60,result_segment,ledger,W3-BATCH-0071
overlay,44,projects/fc-exec-2515/evidence/W3_BATCH_0071_RESULTS.csv,4201,4260,60,result_segment,overlay,W3-BATCH-0071
ledger,45,projects/fc-exec-2515/evidence/W3_BATCH_0072_RESULTS.csv,4261,4320,60,result_segment,ledger,W3-BATCH-0072
overlay,45,projects/fc-exec-2515/evidence/W3_BATCH_0072_RESULTS.csv,4261,4320,60,result_segment,overlay,W3-BATCH-0072
